symbol,date,price
VegB,2012-06-22 22:58:02 UTC,97
VegC,2012-06-22 22:58:02 UTC,1
VegD,2012-06-22 22:58:02 UTC,24
VegA,2012-06-22 22:58:12 UTC,590
VegB,2012-06-22 22:58:12 UTC,97
VegC,2012-06-22 22:58:12 UTC,1
VegD,2012-06-22 22:58:12 UTC,24
VegA,2012-06-22 22:58:22 UTC,591
VegB,2012-06-22 22:58:22 UTC,98
VegC,2012-06-22 22:58:22 UTC,1
VegD,2012-06-22 22:58:22 UTC,25
VegA,2012-06-22 22:58:32 UTC,591
VegB,2012-06-22 22:58:32 UTC,98
VegC,2012-06-22 22:58:32 UTC,0
VegD,2012-06-22 22:58:32 UTC,24
VegA,2012-06-22 22:58:42 UTC,591
VegB,2012-06-22 22:58:42 UTC,97
VegC,2012-06-22 22:58:42 UTC,1
VegD,2012-06-22 22:58:42 UTC,24
VegA,2012-06-22 22:58:52 UTC,592
VegB,2012-06-22 22:58:52 UTC,97
VegC,2012-06-22 22:58:52 UTC,0
VegD,2012-06-22 22:58:52 UTC,24
VegA,2012-06-22 22:59:02 UTC,593
VegB,2012-06-22 22:59:02 UTC,97
VegC,2012-06-22 22:59:02 UTC,0
VegD,2012-06-22 22:59:02 UTC,24
VegA,2012-06-22 22:59:12 UTC,593
VegB,2012-06-22 22:59:12 UTC,97
VegC,2012-06-22 22:59:12 UTC,0
VegD,2012-06-22 22:59:12 UTC,24
VegA,2012-06-22 22:59:22 UTC,593
VegB,2012-06-22 22:59:22 UTC,97
VegC,2012-06-22 22:59:22 UTC,1
VegD,2012-06-22 22:59:22 UTC,25
VegA,2012-06-22 22:59:32 UTC,591
VegB,2012-06-22 22:59:32 UTC,99
VegC,2012-06-22 22:59:32 UTC,1
VegD,2012-06-22 22:59:32 UTC,24
VegA,2012-06-22 22:59:42 UTC,593
VegB,2012-06-22 22:59:42 UTC,99
VegC,2012-06-22 22:59:42 UTC,1
VegD,2012-06-22 22:59:42 UTC,24
VegA,2012-06-22 22:59:52 UTC,593
VegB,2012-06-22 22:59:52 UTC,98
VegC,2012-06-22 22:59:52 UTC,1
VegD,2012-06-22 22:59:52 UTC,24
VegA,2012-06-22 23:00:02 UTC,593
VegB,2012-06-22 23:00:02 UTC,97
VegC,2012-06-22 23:00:02 UTC,1
VegD,2012-06-22 23:00:02 UTC,24
VegA,2012-06-22 23:00:12 UTC,591
VegB,2012-06-22 23:00:12 UTC,97
VegC,2012-06-22 23:00:12 UTC,1
VegD,2012-06-22 23:00:12 UTC,24
VegA,2012-06-22 23:00:22 UTC,593
VegB,2012-06-22 23:00:22 UTC,97
VegC,2012-06-22 23:00:22 UTC,1
VegD,2012-06-22 23:00:22 UTC,25
VegA,2012-06-22 23:00:32 UTC,593
VegB,2012-06-22 23:00:32 UTC,98
VegC,2012-06-22 23:00:32 UTC,1
VegD,2012-06-22 23:00:32 UTC,24
VegA,2012-06-22 23:00:42 UTC,592
VegB,2012-06-22 23:00:42 UTC,97
VegC,2012-06-22 23:00:42 UTC,1
VegD,2012-06-22 23:00:42 UTC,24
VegA,2012-06-22 23:00:52 UTC,593
VegB,2012-06-22 23:00:52 UTC,98
VegC,2012-06-22 23:00:52 UTC,1
VegD,2012-06-22 23:00:52 UTC,24
VegA,2012-06-22 23:01:02 UTC,593
VegB,2012-06-22 23:01:02 UTC,97
VegC,2012-06-22 23:01:02 UTC,1
VegD,2012-06-22 23:01:02 UTC,24
VegA,2012-06-22 23:01:12 UTC,593
VegB,2012-06-22 23:01:12 UTC,98
VegC,2012-06-22 23:01:12 UTC,1
VegD,2012-06-22 23:01:12 UTC,25
VegA,2012-06-22 23:01:22 UTC,593
VegB,2012-06-22 23:01:22 UTC,96
VegC,2012-06-22 23:01:22 UTC,0
VegD,2012-06-22 23:01:22 UTC,24
VegA,2012-06-22 23:01:32 UTC,593
VegB,2012-06-22 23:01:32 UTC,98
VegC,2012-06-22 23:01:32 UTC,0
VegD,2012-06-22 23:01:32 UTC,24
VegA,2012-06-22 23:01:42 UTC,593
VegB,2012-06-22 23:01:42 UTC,97
VegC,2012-06-22 23:01:42 UTC,1
VegD,2012-06-22 23:01:42 UTC,24
VegA,2012-06-22 23:01:52 UTC,593
VegB,2012-06-22 23:01:52 UTC,98
VegC,2012-06-22 23:01:52 UTC,2
VegD,2012-06-22 23:01:52 UTC,24
VegA,2012-06-22 23:02:02 UTC,593
VegB,2012-06-22 23:02:02 UTC,97
VegC,2012-06-22 23:02:02 UTC,0
VegD,2012-06-22 23:02:02 UTC,22
VegA,2012-06-22 23:02:12 UTC,593
VegB,2012-06-22 23:02:12 UTC,97
VegC,2012-06-22 23:02:12 UTC,1
VegD,2012-06-22 23:02:12 UTC,24
VegA,2012-06-22 23:02:22 UTC,593
VegB,2012-06-22 23:02:22 UTC,97
VegC,2012-06-22 23:02:22 UTC,0
VegD,2012-06-22 23:02:22 UTC,24
